GEO,LEG_FORM,INDIC_SB,NACE_R2\TIME	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Portugal,Total,Net business population growth - percentage,Business economy except activities of holding companies	1.01	4.99	1.83 b	-3.89	-5.17	-3.32	-4.57	-2.01	0.42	2.99
Romania,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-2.85	-9.63	35.47 b	6.15	6.59	0.89	-0.15
Slovenia,Total,Net business population growth - percentage,Business economy except activities of holding companies	5.65	4.82	7.08	5.60	3.19	1.58	2.13	5.08	2.11	2.68
Slovakia,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	4.90	3.08	12.78	-4.16	-1.35	9.82	1.92
Finland,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	0.93	1.14	1.62	0.11	-0.16 b	0.98	-0.71
Sweden,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	2.47	2.38	7.26	2.83	-2.26	1.08	1.78
United Kingdom,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-2.23	-4.57	0.71	1.35	3.50	4.33	4.83
Norway,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-0.32	-0.83	2.17	1.55	3.35	0.09	2.27
Switzerland,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	2.29 dp	0.57
Former Yugoslav Republic of Macedonia, the,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	3.77	-0.66	-1.30	-2.07	-1.25	-1.06
Turkey,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	1.59	0.84	-0.03	1.51
European Union (aggregate changing according to the context),Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	8.67 b	9.03 b	9.79	9.99	9.33	9.35	10.32	9.42 p
Bulgaria,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	31.23	25.49	19.31	23.21	23.99	22.18	22.19 p	28.05 p
Czech Republic,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	12.01	19.13	20.39	19.69	18.36	16.32	18.40 p	15.85 ep
Denmark,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	22.30	22.08	22.63	22.14	21.30	22.99 p	:
Germany (until 1990 former territory of the FRG),Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	17.21	17.28	17.21	16.42	15.66	15.45	14.74 p
Estonia,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	31.40	24.54	21.14	20.27	20.36	20.02 b	18.65	18.02 p
Ireland,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	15.50	18.46	14.00	15.83 ep	15.50 e	:	14.86 bep	9.27 ep
Greece,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	: p	11.59 p
Spain,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	16.92	16.75	16.86	17.46	18.01	17.91	18.01	17.44 ep
France,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	17.44	20.52	19.64	17.51	15.79	14.79 b	15.57	14.71
Croatia,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	20.01	19.46	17.52	16.37 p
Italy,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	14.04	13.30	13.12	13.54	13.88	14.84	15.82 p	16.21 ep
Cyprus,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	5.65	6.87	11.18	14.46	14.40	14.80	16.37 p	:
Latvia,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	27.93	31.34	27.61	31.43	29.97	28.28	24.09	23.50 ep
Lithuania,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	49.09	36.19	37.97	38.05	43.54	37.26	43.24 p	23.97 ep
Luxembourg,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	17.67	16.62	16.99	17.29	16.84	17.36	18.05	17.16 p
Hungary,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	20.96	18.82	21.08	23.47	20.25	18.88	20.17 p	20.14 ep
Malta,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	9.82	11.71	15.62	14.68	19.53 b	11.09 p
Netherlands,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	22.73 b	20.65	20.48	17.65	18.81	19.08	18.00	16.48	16.12 p
Austria,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	12.69	13.68 b	14.28	14.08	14.94	14.73	14.18	13.08 b	13.08 p	12.98 p
Poland,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	22.15	23.66	24.39	23.79	22.72	23.98	24.31 p	: p
Portugal,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	25.05	28.31	30.04 b	28.32	27.53	28.94	28.50	28.43	30.16 p	31.04 ep
Romania,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	25.03	30.18 b	28.94	28.83 b	25.40	27.63	19.97 p	20.85 ep
Slovenia,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	18.36	18.76	18.84	18.42	19.15	22.22	19.20	18.48 p
Slovakia,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	30.46 p	26.90	20.38	28.55	19.83	22.62	31.77 p	21.63 ep
Finland,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	17.98	17.39	18.47	:	15.01 b	14.57 b	15.19	13.39 p
Sweden,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	12.98	13.27	13.53	13.41	14.14	13.70	13.25	13.09 p
United Kingdom,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	24.75	24.24	21.62	21.66	22.63	24.58	24.18	25.74 p
Norway,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	16.40	14.99	13.73	12.47	12.88	14.89	14.17 p	13.13 p
Switzerland,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	: p	: p	: p	: p	: p	: p	: p	: dp	: dp	: p
Former Yugoslav Republic of Macedonia, the,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	21.55	26.24	22.05	21.25	19.44 p
Turkey,Total,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	20.87	:	:	24.70	24.82	22.98	: p
European Union (aggregate changing according to the context),Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	3.27 b	2.85 b	2.91	2.93	3.12	4.14	4.16	3.02 p
Bulgaria,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	13.07	7.87	7.92	12.25	10.97	10.26	10.37 p	16.15 p
Czech Republic,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	8.20	8.21	8.95	9.13	9.71	8.30	9.26 p	7.50 ep
Denmark,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	12.51	11.13	10.54	11.31	11.02	11.85 p	:
Germany (until 1990 former territory of the FRG),Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	8.90	8.56	8.55	8.47	8.27	8.25	7.66 p
Estonia,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	13.21	14.60	10.05	8.40	8.19	8.96 b	7.93	7.73 p
Ireland,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	9.62	11.53	8.25	9.56 p	8.73	:	8.04 bp	2.00 p
Greece,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	: p	6.45 p
Spain,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	9.45	9.56	9.05	9.49	9.79	9.52	8.24	8.21 ep
France,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	7.74	7.54	6.86	6.49	5.64	5.28 b	5.64	5.29
Croatia,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	11.81	9.32	9.75	8.03 p
Italy,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	6.99	6.08	6.47	6.87	6.91	7.76	8.68 p	8.90 ep
Cyprus,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	2.38	3.82	7.28	9.94	8.95	8.65	: p	:
Latvia,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	13.98	14.92	10.91	12.24	13.13	12.97	9.04	6.28 ep
Lithuania,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	29.05	21.47	16.90	14.34	18.65	14.20	18.74 p	5.42 ep
Luxembourg,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	7.75	7.35	7.47	7.59	7.32	7.58	8.02	7.79 p
Hungary,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	10.81	9.64	11.08	13.49	11.64	9.02	10.19 p	9.45 ep
Malta,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	2.86	8.23	9.43	8.49	8.23 b	2.59 p
Netherlands,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	7.27	7.57	8.53	7.24	7.64	8.81	7.93	6.37	6.41 p
Austria,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	5.37	5.40 b	5.83	6.10	6.92	7.06	6.73	6.01 b	6.06 p	6.14 p
Poland,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	9.00	10.82	10.58	11.33	11.20	11.57	11.81 p	: p
Portugal,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	11.20	13.07	15.43 b	16.20	15.66	16.37	16.02	13.91	15.40 p	15.13 ep
Romania,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	10.37	20.69 b	20.23	15.82 b	13.14	11.71	9.79 p	9.42 ep
Slovenia,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	6.64	7.43	8.51	8.26	9.07	8.97	8.17	7.74 p
Slovakia,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	14.95 p	10.57	7.19	14.17	9.25	12.67	11.98 p	9.55 ep
Finland,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	7.79	8.41	8.54	:	6.11 b	7.33 b	7.36	6.67 p
Sweden,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	5.88	6.18	6.01	5.22	7.30	6.64	6.02	5.90 p
United Kingdom,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	11.76	14.15	11.14	10.10	10.83	9.92	9.92	10.97 p
Norway,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	6.83	6.30	6.02	4.30	4.18	5.69	5.83 p	4.07 p
Switzerland,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	: p	: p	: p	: p	: p	: p	: p	: dp	: dp	: p
Former Yugoslav Republic of Macedonia, the,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	11.42	12.86	9.33	14.83	12.13	10.76	9.28 p
Turkey,Total,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	10.42	:	:	11.93	12.45	10.83	: p
European Union (aggregate changing according to the context),Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.77 b	0.74 b	0.75	0.79	0.85	1.11	1.15	: p
Bulgaria,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	4.77	2.23	3.23	3.53	2.96	3.35	2.92 p	: p
Czech Republic,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	2.22	2.49	2.68	2.72	2.80	2.36	2.66 p	: p
Denmark,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	1.72	1.76	1.38	1.59	1.31 p	: p	:
Germany (until 1990 former territory of the FRG),Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	: e	1.39 e	1.28 e	1.19 e	1.14 e	1.14 e	1.00 e	: p
Estonia,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	: c	4.64	3.38	2.60	2.56	2.58 b	2.29	: p
Ireland,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	2.06	2.47	1.77	1.93 p	1.68	:	2.06 bp	: p
Greece,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	: p	: p
Spain,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	4.07	4.18	3.83	3.92	4.30	4.16	3.50	: p
France,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	3.21	3.60	3.09	3.03	2.50	1.60 b	1.86	1.66
Croatia,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	2.82	2.15	2.51	: p
Italy,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	2.82	2.29	1.94	2.22	2.30	2.43	2.64 p	: p
Cyprus,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.02	1.02	2.04	2.92	2.62	1.88	: p	:
Latvia,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	3.57	4.05	2.51	2.97	3.54	3.63	2.59	: p
Lithuania,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	5.12	4.90	: c	: c	4.23	3.30	4.26 p	: p
Luxembourg,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.19	1.28	1.31	1.49	: c	1.38	1.46	: p
Hungary,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	4.88	4.09	4.58	4.57	4.62	3.28	3.79 p	: p
Malta,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	0.89	1.70	2.56	1.93	3.13 b	: p
Netherlands,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	0.90	0.74	0.93	0.74	0.71	0.84	0.94	0.74	: p
Austria,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	1.44	1.46 b	1.57	1.56	1.74	1.76	1.64	1.37 b	1.43 p	: p
Poland,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	3.13	3.51	3.21	3.62	3.56	3.64	3.66 p	: p
Portugal,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	4.37	5.20	6.05 b	6.55	6.32	6.86	6.30	5.41	5.61 p	: p
Romania,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	2.42	4.27 b	3.32	3.09 b	4.52	2.14	2.90 p	: p
Slovenia,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.34	1.66	: c	2.01	2.27	2.27	1.96	: p
Slovakia,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	5.44 p	4.21	3.03	4.53	3.32	4.96	4.28 p	: p
Finland,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.48	0.60	0.48	:	1.10 b	1.38 b	1.18	: p
Sweden,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.76	1.95	1.84	1.68	2.35	2.00	1.79	: p
United Kingdom,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	3.21	3.97	3.34	2.97	3.16	2.96	3.00	: p
Norway,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.56	0.62	0.54	0.32	0.33	0.49	0.35 p	: p
Switzerland,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	: p	: p	: p	: p	: p	: p	: p	: dp	: dp	: p
Former Yugoslav Republic of Macedonia, the,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	: p	: p	: p	: p
Turkey,Total,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	6.33	:	:	4.92	5.96	4.70	: p
European Union (aggregate changing according to the context),Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	4.52 b	-0.08	0.05	0.22	0.14	5.20	0.54
Bulgaria,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	9.53	-9.70	-9.37	-9.28	-8.75	-7.32	-7.28
Czech Republic,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	12.09	3.15	1.16	-1.45	-3.36	5.54	0.24
Denmark,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-7.35	-0.73	2.64	-1.35	-2.45	-1.29	:
Germany (until 1990 former territory of the FRG),Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-2.26	-0.08	1.20	0.56	-0.81	-5.48	-0.80
Estonia,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-11.75	-23.03	-6.22	-3.34	5.01 b	-7.94	-2.00
Ireland,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-10.02	-2.66	-5.29	-4.20	:	:	3.82
Greece,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	-2.66 p
Spain,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-3.73	-3.85	-2.51	-2.72	-2.81	-0.97	1.99
France,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	8.27	-0.94	-1.65	0.30	6.97 b	11.33	-0.13
Croatia,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	-4.13	6.55	-6.89
Italy,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-1.49	-1.11	-1.45	-0.38	-2.60	-1.10	-0.91
